'Pteronotus parnellii',
'Pteronotus personatus',
'Pteronotus quadridens',
'Cardioderma cor',
'Lavia frons',
'Macroderma gigas',
'Nycteris grandis',
'Nycteris thebaica',
'Balantiopteryx infusca',
'Balantiopteryx io',
'Balantiopteryx plicata',
'Coleura afra',
'Cormura brevirostris',
'Cyttarops alecto',
'Diclidurus albus',
'Peropteryx macrotis',
'Rhynchonycteris naso',
'Saccopteryx bilineata',
'Saccopteryx leptura',
'Taphozous hildegardeae',
'Taphozous mauritianus',
'Noctilio albiventris',
'Noctilio leporinus',
'Chaerephon ansorgei',
'Chaerephon chapini',
'Chaerephon nigeriae',
'Chaerephon pumilus',
'Eumops auripendulus',
'Eumops bonariensis',
'Eumops dabbenei',
'Eumops glaucinus',
'Eumops hansae',
'Eumops maurus',
'Eumops perotis',
'Eumops underwoodi',
'Molossus bondae',
'Molossus pretiosus',
'Molossus sinaloae',
'Mops midas',
'Mormopterus petrophilus',
'Neoplatymops mattogrossensis',
'Nyctinomops aurispinosus',
'Nyctinomops femorosaccus',
'Nyctinomops laticaudatus',
'Nyctinomops macrotis',
'Otomops martiensseni',
'Tadarida brasiliensis',
'Craseonycteris thonglongyai',
'Hipposideros caffer',
'Hipposideros cyclops',
'Rhinolophus capensis',
'Rhinolophus hildebrandti',
'Rhinolophus landeri',
'Rhinolophus paradoxolophus',
'Lemur catta',
'Indri indri',
'Daubentonia madagascariensis',
'Callithrix pygmaea',
'Leontopithecus rosalia',
'Mica humeralifer',
'Callicebus moloch',
'Cacajao melanocephalus',
'Nasalis larvatus',
'Trachypithecus cristatus',
'Trachypithecus delacouri',
'Nomascus leucogenys',
'Pan troglodytes',
'Pongo pygmaeus',
'Alopex lagopus',
'Atelocynus microtis',
'Canis latrans',
'Canis lupus',
'Canis mesomelas',
'Canis rufus',
'Canis simensis',
'Cerdocyon thous',
'Chrysocyon brachyurus',
'Cuon alpinus',
'Lycalopex gymnocercus',
'Lycalopex sechurae',
'Lycalopex vetulus',
'Nyctereutes procyonoides',
'Otocyon megalotis',
'Pseudalopex culpaeus',
'Speothos venaticus',
'Urocyon cinereoargenteus',
'Urocyon littoralis',
'Vulpes bengalensis',
'Vulpes cana',
'Vulpes corsac',
'Vulpes ferrilata',
'Vulpes macrotis',
'Vulpes rueppelli',
'Vulpes velox',
'Vulpes vulpes',
'Vulpes zerda',
'Ailuropoda melanoleuca',
'Ailurus fulgens',
'Helarctos malayanus',
'Ursus americanus',
'Ursus arctos',
'Ursus maritimus',
'Bassaricyon gabbii',
'Potos flavus',
'Bassariscus astutus',
'Nasua narica',
'Nasua nasua',
'Procyon lotor',
'Procyon pygmaeus',
'Cystophora cristata',
'Leptonychotes weddelli',
'Lobodon carcinophaga',
'Mirounga angustirostris',
'Mirounga leonina',
'Monachus tropicalis',
'Phoca sibirica',
'Arctocephalus galapagoensis',
'Arctocephalus townsendi',
'Eumetopias jubatus',
'Neophoca cinerea',
'Odobenus rosmarus',
'Amblonyx cinereus',
'Aonyx capensis',
'Aonyx congicus',
'Enhydra lutris',
'Lontra canadensis',
'Lontra felina',
'Lontra longicaudis',
'Lontra provocax',
'Lutra maculicollis',
'Lutrogale perspicillata',
'Melogale moschata',
'Mellivora capensis',
'Conopatus leuconotus',
'Mephitis macroura',
'Mephitis mephitis',
'Mydaus javanensis',
'Mydaus marchei',
'Spilogale gracilis',
'Spilogale putorius',
'Spilogale pygmaea',
'Eira barbara',
'Galictis cuja',
'Galictis vittata',
'Gulo gulo',
'Ictonyx striatus',
'Martes americana',
'Martes pennanti',
'Martes zibellina',
'Mustela africana',
'Mustela erminea',
'Mustela felipei',
'Mustela frenata',
'Mustela lutreola',
'Mustela nigripes',
'Mustela nivalis',
'Mustela vison',
'Poecilogale albinucha',
'Vormela peregusna',
'Taxidea taxus',
'Hyaena brunnea',
